title,amenities,bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,time
Thomas Ninke Senior Village,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gated,Parking,Patio/Deck,Refrigerator,Storage,Washer Dryer,Wood Floors",1.0,1.0,No,Thumbnail,"Cats,Dogs",337.0,617,Victoria,TX,28.69603961052494,-97.16408938147784,RentDigs.com,1547715453
"Average Rent $1,284 a month - That's a STEAL. Pet OK!","Parking,Patio/Deck,Pool,Washer Dryer",1.0,1.0,No,Yes,"Cats,Dogs",1284.0,728,Dallas,TX,32.85133825242448,-96.81763520923263,RentDigs.com,1568757960
Super Cute! Apartment for Rent. $923/mo,"Fireplace,Gym,Pool,Tennis,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",923.0,510,Richmond,VA,37.53006134983645,-77.47620835497014,RentDigs.com,1568744171
Apartment in move in condition in Loganville,,2.0,4.0,No,Yes,,1595.0,1950,Loganville,GA,33.79589427523087,-83.87714260558339,RentDigs.com,1568777003
"$2,000 / Three BR - Great Deal. MUST SEE!","Dishwasher,Garbage Disposal,Parking,Refrigerator,Washer Dryer,Wood Floors",2.0,3.0,No,Yes,"Cats,Dogs",2000.0,1600,Chicago,IL,42.00503707654541,-87.68144765950784,RentDigs.com,1544237300
"Castle Rock, prime location Three BR, Apartment. Pet OK!",Parking,2.0,3.0,No,Yes,"Cats,Dogs",2200.0,1259,Castle Rock,CO,39.35708523649184,-104.84695777749587,RentDigs.com,1550848838
Three BR 541 W Washington Ave,Parking,1.0,3.0,No,Thumbnail,"Cats,Dogs",1495.0,1186,Madison,WI,43.103270127420544,-89.4353820679267,RentLingo,1577015749
One BR Howard and Metric,,1.0,1.0,No,Thumbnail,"Cats,Dogs",865.0,741,Austin,TX,30.29835146830551,-97.71644218208812,RentLingo,1577360542
One BR Apartment in Issaquah,"Basketball,Gym,Internet Access,Pool,TV",1.0,1.0,No,Yes,,2066.0,1101,Issaquah,WA,47.55493961933787,-121.97423868807888,RentDigs.com,1568772403
One BR 65 Bay Street,"Parking,Pool",1.0,1.0,No,Thumbnail,"Cats,Dogs",3030.0,696,Jersey City,NJ,40.68708158012881,-74.07211685408824,RentLingo,1577358770
